timestamp,time_took,temp,compass,acc_z,acc_y,acc_x
1602918813685,5572,29,157,-580,832,20
1602918814280,595,29,65,-1176,772,-48
1602918814449,169,29,32,-772,576,-8
1602918814620,171,29,56,-812,360,48
1602918814775,155,29,59,-980,364,-4
1602918814932,157,29,59,-968,380,0
1602918815084,152,29,59,-980,376,4
1602918815236,152,29,59,-984,380,0
1602918815388,152,29,59,-976,376,0
1602918815543,155,29,59,-980,380,0
1602918815698,155,29,59,-988,380,0
1602918815911,213,29,58,-976,388,8
1602918816110,199,29,59,-976,380,4
1602918816308,198,29,59,-976,376,4
1602918816461,153,29,59,-976,376,4
1602918816613,152,29,59,-980,372,-4
1602918816767,154,29,60,-980,372,8
1602918816993,226,29,59,-988,384,0
1602918817168,175,29,59,-984,384,8
1602918817336,168,29,59,-980,384,8
1602918817490,154,29,58,-976,384,0
1602918817642,152,29,59,-976,372,4
1602918817732,90,29,59,-976,380,4
1602918817883,151,29,59,-984,372,0
1602918818035,152,29,59,-984,376,0
1602918818189,154,29,59,-968,376,0
1602918818340,151,29,59,-980,380,0
1602918818571,231,29,59,-980,380,4
1602918818752,181,29,59,-972,376,4
1602918819001,249,29,59,-984,380,4
1602918819150,149,29,59,-980,380,8
1602918819305,155,29,59,-980,384,4
1602918819456,151,29,58,-976,376,4
1602918819737,281,29,59,-976,364,-4
1602918819919,182,29,59,-988,384,0
1602918820088,169,29,59,-980,384,0
1602918820307,219,29,59,-972,376,8
1602918820475,168,29,59,-980,376,0
1602918821247,772,29,59,-976,376,0
1602918821403,156,29,59,-980,380,8
1602918821542,139,29,59,-984,380,8
1602918821708,166,29,60,-984,372,8
1602918821848,140,29,59,-976,376,8
1602918822001,153,29,59,-980,384,4
1602918822138,137,29,59,-980,376,0
1602918822280,142,29,59,-980,376,4
1602918822422,142,29,60,-1008,372,8
1602918822561,139,29,59,-976,376,0
1602918822698,137,29,59,-972,376,0
1602918822835,137,29,59,-976,380,4
1602918823665,830,29,59,-980,384,8
1602918823894,229,29,59,-976,372,0
1602918824059,165,29,58,-980,380,-4
1602918824231,172,29,59,-980,376,8
1602918824389,158,29,59,-984,384,4
1602918825576,1187,29,59,-980,384,0
1602918825731,155,29,59,-984,376,0
1602918825884,153,29,59,-984,376,0
1602918826038,154,29,59,-984,376,0
1602918826193,155,29,59,-976,376,0
1602918826343,150,29,59,-980,380,0
1602918826497,154,29,58,-984,384,0
1602918826650,153,29,59,-980,380,4
1602918826803,153,29,71,-992,352,-44
1602918826957,154,29,75,-1056,196,-72
1602918827111,154,29,168,-880,104,-356
1602918827265,154,29,172,-596,-148,-776
1602918827423,158,29,181,-416,-280,-864
1602918827572,149,29,182,-548,-244,-820
1602918827724,152,29,179,-648,-4,-692
1602918827877,153,29,185,-1020,-32,-352
1602918828031,154,29,184,-988,64,-296
1602918828199,168,29,177,-996,24,-36
1602918828350,151,29,172,-1076,108,56
1602918828505,155,29,173,-1056,24,-20
1602918828658,153,29,173,-900,-92,-32
1602918828812,154,29,173,-1004,140,-248
1602918828965,153,29,176,-1028,172,-132
1602918829134,169,29,176,-968,212,-268
1602918829287,153,29,179,-1148,176,-164
1602918829440,153,29,176,0,176,124
1602918829593,153,29,177,-956,384,92
1602918829746,153,29,178,-964,380,80
1602918829899,153,29,178,-980,360,84
1602918830052,153,29,176,-972,372,72
1602918830206,154,29,174,-980,380,100
1602918830359,153,29,174,-984,292,140
1602918830512,153,29,159,-1156,336,620
1602918830681,169,29,179,-432,416,988
1602918830832,151,29,193,-128,172,972
1602918831002,170,29,267,160,228,904
1602918831155,153,29,248,188,236,964
1602918831324,169,29,254,216,340,1048
1602918831475,151,29,142,-408,336,1032
1602918831645,170,29,161,-860,316,496
1602918831798,153,29,186,-1124,372,192
1602918831965,167,29,183,-884,548,-20
1602918832119,154,29,169,-972,384,128
1602918832289,170,29,162,-956,448,44
1602918832442,153,29,158,-900,392,28
1602918832609,167,29,149,-880,372,80
1602918832789,180,29,148,-976,380,120
1602918832947,158,29,148,-972,388,116
1602918833100,153,29,148,-976,384,116
1602918833254,154,29,148,-972,384,116
1602918833341,87,29,148,-972,388,112
1602918833496,155,29,148,-968,384,116
1602918833648,152,29,148,-968,392,112
1602918833863,215,29,148,-964,384,120
1602918834063,200,29,148,-968,384,116
1602918834245,182,29,148,-972,388,112
1602918834400,155,29,148,-964,392,112
1602918834566,166,29,148,-964,388,112
1602918834735,169,29,148,-964,380,120
1602918834890,155,29,148,-976,392,112
1602918835041,151,29,148,-972,392,116
1602918835212,171,29,148,-964,396,112
1602918835425,213,29,148,-972,388,116
1602918835607,182,29,148,-972,380,116
1602918835790,183,29,148,-976,388,116
1602918835944,154,29,148,-976,384,116
1602918836098,154,29,148,-964,388,120
1602918836251,153,29,148,-976,388,116
1602918836405,154,29,148,-964,384,120
1602918836562,157,29,148,-972,384,116
1602918836713,151,29,148,-972,388,120
1602918836866,153,29,148,-976,384,124
1602918837096,230,29,148,-968,392,116
1602918837279,183,29,148,-968,384,120
1602918837431,152,29,148,-968,384,120
1602918837588,157,29,148,-976,388,116
1602918837739,151,29,148,-968,392,116
1602918837892,153,29,148,-964,384,116
1602918838046,154,29,148,-960,384,116
1602918838203,157,29,148,-972,388,116
1602918838356,153,29,148,-972,384,112
1602918838511,155,29,148,-972,384,116
1602918838662,151,29,148,-968,384,116
1602918838817,155,29,148,-972,388,120
1602918838969,152,29,148,-968,384,124
1602918839122,153,29,148,-976,392,120
1602918839275,153,29,148,-972,380,112
1602918839430,155,29,148,-968,388,108
1602918839588,158,29,148,-964,384,120
1602918839736,148,29,148,-964,380,120
1602918839888,152,29,148,-968,384,120
1602918840043,155,29,148,-972,384,112
