timestamp,time_took,temp,compass,acc_z,acc_y,acc_x
1603002898496,253005,28,29,-836,240,-16
1603002898559,63,28,28,-1008,236,8
1603002898619,60,28,27,-1048,224,0
1603002898686,67,28,27,-664,188,8
1603002898743,57,28,25,-872,156,0
1603002898814,71,28,26,-1012,216,8
1603002898878,64,28,25,-1020,200,8
1603002898942,64,28,25,-1020,204,12
1603002899003,61,28,25,-1032,204,4
1603002899068,65,28,25,-1020,204,8
1603002899129,61,28,25,-1024,204,8
1603002899189,60,28,26,-1020,200,8
1603002899254,65,28,26,-1024,200,12
1603002899315,61,28,26,-1020,196,8
1603002899380,65,28,25,-1020,200,4
1603002899439,59,28,25,-1016,204,8
1603002899506,67,28,25,-1020,204,8
1603002899573,67,28,26,-1016,200,4
1603002899643,70,28,26,-1020,192,8
1603002899704,61,28,26,-1012,204,16
1603002899770,66,28,25,-1028,204,12
1603002899907,137,28,26,-1016,196,12
1603002899970,63,28,26,-1024,204,0
1603002900037,67,28,26,-1016,204,8
1603002900097,60,28,25,-1016,196,12
1603002900167,70,28,25,-1020,200,8
1603002900229,62,28,25,-1024,204,12
1603002900296,67,28,25,-1020,204,8
1603002900362,66,28,25,-1012,200,8
1603002900427,65,28,25,-1020,196,8
1603002900488,61,28,26,-1020,208,8
1603002900560,72,28,24,-1024,200,8
1603002900624,64,28,25,-1024,204,4
1603002900685,61,28,25,-1020,200,16
1603002900751,66,29,25,-1020,204,8
1603002900816,65,28,25,-1028,196,12
1603002900884,68,29,26,-1016,200,8
1603002900948,64,28,25,-1020,208,12
1603002901012,64,29,25,-1024,200,0
1603002901074,62,28,25,-1020,192,12
1603002901141,67,29,26,-1020,196,12
1603002901207,66,28,26,-1012,204,8
1603002901277,70,29,26,-1012,200,8
1603002901341,64,28,25,-1020,196,16
1603002901405,64,28,25,-1016,196,12
1603002901473,68,28,25,-1020,196,4
1603002901538,65,28,26,-1020,196,8
1603002901605,67,28,26,-1016,200,16
1603002901670,65,29,26,-1024,204,8
1603002901736,66,28,26,-1024,196,8
1603002901801,65,28,26,-1020,200,4
1603002901874,73,28,25,-1020,200,12
1603002901939,65,29,25,-1024,200,12
1603002902005,66,29,26,-1020,204,8
1603002902070,65,29,26,-1020,196,12
1603002902139,69,29,26,-1016,204,4
1603002902204,65,29,26,-1016,196,8
1603002902268,64,29,26,-1020,200,0
1603002902336,68,29,25,-1020,204,12
1603002902402,66,29,25,-1012,200,8
1603002902466,64,29,25,-1012,200,8
1603002902530,64,29,26,-1020,200,12
1603002902599,69,29,26,-1020,204,8
1603002902664,65,29,26,-1024,204,8
1603002902733,69,29,25,-1024,200,8
1603002902797,64,29,26,-1024,200,12
1603002902869,72,29,26,-1024,208,4
1603002902934,65,29,26,-1020,200,12
1603002903001,67,29,26,-1012,196,8
1603002903065,64,29,26,-1024,204,12
1603002903132,67,29,26,-1020,196,12
1603002903198,66,29,25,-1016,196,12
1603002903263,65,28,25,-1020,204,12
1603002903330,67,29,26,-1016,196,8
1603002903395,65,28,25,-1004,204,12
1603002903460,65,28,25,-1008,200,12
1603002903529,69,29,26,-1060,212,16
1603002903599,70,29,25,-1016,192,12
1603002903665,66,29,25,-1020,192,8
1603002903729,64,29,25,-1024,204,12
1603002903791,62,29,26,-1012,196,8
1603002903869,78,29,25,-1024,192,12
1603002903932,63,29,25,-1020,200,0
1603002903993,61,29,26,-1016,204,12
1603002904060,67,29,25,-1028,208,12
1603002904127,67,29,25,-1024,200,8
1603002904201,74,29,26,-1020,208,12
1603002904263,62,29,27,-1012,204,8
1603002904328,65,29,26,-1016,200,8
1603002904389,61,29,26,-1024,200,12
1603002904455,66,29,25,-1020,200,12
1603002904527,72,29,25,-1020,200,8
1603002904599,72,29,25,-1000,200,12
1603002904664,65,29,26,-1020,204,8
1603002904729,65,29,26,-1024,200,8
1603002904790,61,29,25,-1020,200,8
1603002904862,72,29,25,-1016,200,12
1603002904934,72,29,26,-1008,200,4
1603002904998,64,29,26,-1020,196,12
1603002905065,67,29,26,-1024,200,16
1603002905132,67,29,25,-1020,196,8
1603002905213,81,29,25,-1008,204,12
1603002905276,63,29,26,-1028,196,8
1603002905346,70,29,26,-1020,200,4
1603002905411,65,29,26,-1024,208,12
1603002905479,68,29,26,-1020,204,12
1603002905561,82,29,26,-1016,200,8
1603002905622,61,29,25,-1024,196,8
1603002905693,71,29,25,-1012,204,12
1603002905753,60,29,25,-1024,200,16
1603002905819,66,29,25,-1012,196,4
1603002905896,77,29,25,-1016,200,12
1603002905962,66,29,26,-1016,200,8
1603002906028,66,29,26,-1028,196,4
1603002906094,66,29,26,-1028,196,20
1603002906160,66,29,25,-1024,200,4
1603002906239,79,29,25,-1024,200,8
1603002906303,64,29,25,-1020,200,12
1603002906368,65,29,25,-1020,192,12
1603002906435,67,29,26,-1032,192,12
1603002906503,68,29,26,-1020,200,12
1603002906592,89,29,25,-1032,204,12
1603002906655,63,29,25,-1016,196,4
1603002906722,67,29,26,-1020,204,12
1603002906788,66,29,25,-1020,192,4
1603002906852,64,29,25,-1012,200,12
1603002906933,81,29,24,-1016,204,0
1603002907002,69,29,26,-1024,200,12
1603002907068,66,29,26,-1028,200,8
1603002907128,60,29,25,-1028,196,12
1603002907195,67,29,26,-1020,200,16
1603002907273,78,29,26,-1024,204,8
1603002907344,71,29,25,-1020,200,12
1603002907409,65,29,25,-1016,200,12
1603002907475,66,29,25,-1028,204,12
1603002907540,65,29,25,-1024,200,12
1603002907629,89,29,26,-1016,200,8
1603002907691,62,29,25,-1016,196,12
1603002907761,70,29,26,-1016,208,4
1603002907822,61,29,26,-1012,208,12
1603002907888,66,29,26,-1012,200,8
1603002907977,89,29,26,-1016,200,12
1603002908042,65,29,26,-1024,200,8
1603002908109,67,29,26,-1012,200,12
1603002908174,65,29,25,-1016,200,8
1603002908239,65,29,25,-1024,200,12
1603002908320,81,29,26,-1020,200,12
1603002908389,69,29,26,-1024,204,4
1603002908456,67,29,25,-1020,200,12
1603002908520,64,29,25,-1024,204,12
1603002908587,67,29,26,-1024,204,8
1603002908666,79,29,25,-1032,196,8
1603002908736,70,29,25,-1028,208,12
1603002908802,66,29,26,-1024,196,4
1603002908868,66,29,25,-1020,200,12
1603002908934,66,29,26,-1016,200,8
1603002909032,98,29,25,-1016,200,8
1603002909094,62,29,25,-1020,196,8
1603002909161,67,29,25,-1020,192,12
1603002909228,67,29,26,-1016,200,0
1603002909297,69,29,26,-1016,196,4
1603002909379,82,29,26,-1016,200,12
1603002909441,62,29,26,-1012,196,4
1603002909513,72,29,26,-1012,212,12
1603002909579,66,29,26,-1020,204,8
1603002909645,66,29,26,-1032,204,8
1603002909729,84,29,26,-1012,204,4
1603002909799,70,29,26,-1020,200,12
1603002909861,62,29,25,-1028,208,16
1603002909932,71,29,27,-1012,200,8
1603002909997,65,29,26,-1020,196,16
1603002910085,88,29,26,-1012,196,8
1603002910148,63,29,26,-1016,192,8
1603002910213,65,29,25,-1028,204,12
1603002910278,65,29,25,-1024,200,16
1603002910344,66,29,25,-1020,204,8
1603002910433,89,29,24,-1020,204,4
1603002910499,66,29,26,-1020,196,16
1603002910564,65,29,26,-1020,200,16
1603002910631,67,29,26,-1012,208,4
1603002910697,66,29,26,-1024,200,8
1603002910783,86,29,26,-1020,196,28
1603002910852,69,29,26,-1024,196,8
1603002910918,66,29,26,-1020,200,4
1603002910984,66,29,26,-1024,200,8
1603002911049,65,29,26,-1020,200,12
1603002911147,98,29,25,-1024,200,12
1603002911216,69,29,25,-1020,200,8
1603002911282,66,29,26,-1024,200,4
1603002911347,65,29,26,-1008,204,12
1603002911416,69,29,26,-1020,212,8
1603002911506,90,29,26,-1020,204,12
1603002911569,63,29,26,-1020,200,4
1603002911634,65,29,26,-1020,200,12
1603002911703,69,29,26,-1012,204,8
1603002911772,69,29,26,-1016,200,8
1603002911870,98,29,25,-1028,200,8
1603002911932,62,29,25,-1016,200,8
1603002912000,68,29,25,-1028,196,8
1603002912065,65,29,26,-1028,204,8
1603002912132,67,29,28,-960,268,16
1603002912216,84,29,32,-740,440,40
1603002912287,71,29,262,152,708,-72
1603002912352,65,29,30,-1096,1060,276
1603002912423,71,29,39,-532,728,248
1603002912490,67,29,92,-664,788,128
1603002912586,96,29,105,-904,772,192
1603002912651,65,29,102,-360,896,-60
1603002912715,64,29,109,-924,852,168
1603002912783,68,29,124,-408,872,48
1603002912849,66,29,105,-928,824,284
1603002912947,98,29,218,24,132,1028
1603002913008,61,29,103,-708,932,116
1603002913075,67,29,114,-640,984,148
1603002913141,66,29,100,-592,1000,-40
1603002913212,71,29,79,-736,844,-132
1603002913320,108,29,87,-596,860,-192
1603002913384,64,29,93,-776,980,-60
1603002913451,67,29,79,-540,824,-216
