timestamp,time_took,temp,compass,acc_z,acc_y,acc_x
1602997731601,8171,29,28,-708,760,88
1602997731664,63,29,28,-768,760,128
1602997731724,60,29,28,-736,760,100
1602997731790,66,29,28,-760,760,108
1602997731849,59,29,28,-744,768,96
1602997731916,67,29,27,-748,740,124
1602997731975,59,29,27,-780,736,128
1602997732042,67,29,28,-724,768,104
1602997732109,67,29,28,-772,752,120
1602997732172,63,29,28,-752,728,120
1602997732234,62,29,29,-748,740,140
1602997732299,65,29,29,-748,756,136
1602997732364,65,29,28,-756,740,124
1602997732425,61,29,28,-764,744,108
1602997732491,66,29,28,-776,744,140
1602997732556,65,29,27,-784,720,100
1602997732625,69,29,26,-752,756,48
1602997732689,64,29,27,-740,732,72
1602997732753,64,29,27,-744,760,68
1602997732814,61,29,25,-780,776,44
1602997732880,66,29,27,-688,744,72
1602997732945,65,29,25,-796,776,36
1602997733006,61,29,25,-700,760,-20
1602997733073,67,29,24,-736,808,-36
1602997733137,64,29,24,-736,780,-24
1602997733203,66,29,25,-716,800,-48
1602997733270,67,29,26,-644,808,-68
1602997733334,64,29,26,-716,816,-60
1602997733395,61,29,25,-692,784,-44
1602997733462,67,29,27,-684,808,-36
1602997733532,70,29,26,-720,816,-24
1602997733597,65,29,26,-692,820,-52
1602997733667,70,29,26,-688,812,-40
1602997733729,62,29,26,-716,784,-24
1602997733796,67,29,26,-668,784,-40
1602997733862,66,29,25,-756,808,-20
1602997733934,72,29,24,-700,832,-60
1602997734000,66,29,25,-668,812,-64
1602997734066,66,29,26,-740,800,-12
1602997734131,65,29,25,-696,796,-48
1602997734200,69,29,26,-684,792,-32
1602997734265,65,29,26,-712,812,-40
1602997734328,63,29,26,-732,792,-16
1602997734395,67,29,26,-708,792,-24
1602997734461,66,29,26,-700,804,-16
1602997734529,68,29,27,-720,796,-12
1602997734592,63,29,26,-716,796,-44
1602997734658,66,29,27,-708,808,-24
1602997734725,67,29,27,-724,792,-16
1602997734789,64,29,27,-720,780,-20
1602997734850,61,29,27,-728,792,-16
1602997734922,72,29,31,-736,788,92
1602997734987,65,29,14,-716,652,-496
1602997735048,61,29,30,-748,784,-108
1602997735114,66,29,26,-928,652,-156
1602997735178,64,29,26,-764,560,-124
1602997735248,70,29,28,-848,532,-76
1602997735311,63,29,29,-860,372,44
1602997735375,64,29,28,-1032,344,12
1602997735437,62,29,31,-984,268,-12
1602997735501,64,29,31,-1004,252,-88
1602997735567,66,29,27,-984,280,-100
1602997735636,69,29,25,-972,304,-264
1602997735700,64,29,22,-888,468,-488
1602997735765,65,29,22,-744,484,-500
1602997735832,67,29,22,-748,444,-448
1602997735898,66,29,19,-800,516,-600
1602997735969,71,29,19,-692,488,-580
1602997736035,66,29,18,-752,588,-704
1602997736102,67,29,15,-612,604,-652
1602997736169,67,29,15,-536,660,-620
1602997736242,73,29,20,-672,608,-468
1602997736305,63,29,22,-1904,652,-488
1602997736370,65,29,24,-964,572,-188
1602997736431,61,29,26,-1016,572,-100
1602997736502,71,29,31,-1028,512,232
1602997736571,69,29,30,-644,352,252
1602997736641,70,29,32,-1044,312,628
1602997736706,65,29,37,-888,292,676
1602997736771,65,29,33,-632,220,676
1602997736838,67,29,35,-752,172,768
1602997736908,70,29,36,-720,208,636
1602997736976,68,29,36,-816,188,476
1602997737040,64,29,38,-864,160,360
1602997737107,67,29,35,-1128,276,204
1602997737174,67,29,34,-972,264,52
1602997737247,73,29,35,-1044,392,-200
1602997737311,64,29,27,-912,400,-288
1602997737379,68,29,23,-848,468,-420
1602997737442,63,29,23,-776,532,-508
1602997737508,66,29,19,-704,572,-588
1602997737585,77,29,18,-712,576,-528
1602997737645,60,29,17,-640,592,-588
1602997737712,67,29,16,-744,588,-536
1602997737778,66,29,19,-800,532,-480
1602997737842,64,29,18,-676,296,-328
1602997737912,70,29,24,-932,384,-260
1602997737981,69,29,26,-1084,376,-80
1602997738047,66,29,31,-848,332,36
1602997738111,64,29,28,-1088,276,40
1602997738172,61,29,32,-984,208,136
1602997738249,77,29,35,-940,212,248
1602997738309,60,29,33,-880,136,280
1602997738369,60,29,37,-1056,168,324
1602997738444,75,29,36,-912,148,300
1602997738506,62,29,37,-1024,164,264
1602997738581,75,29,38,-860,272,224
1602997738651,70,29,32,-1016,200,164
1602997738717,66,29,40,-940,512,48
1602997738783,66,29,33,-900,452,-60
1602997738848,65,29,29,-964,596,-184
1602997738923,75,29,31,-748,632,-240
1602997738992,69,29,27,-780,680,-256
1602997739058,66,29,23,-672,764,-328
1602997739130,72,29,16,-608,756,-340
1602997739195,65,29,14,-536,836,-424
1602997739270,75,29,7,-492,872,-412
1602997739340,70,29,2,-412,876,-472
1602997739404,64,29,5,-472,904,-440
1602997739471,67,29,11,-540,868,-364
1602997739538,67,29,22,-664,608,-312
1602997739622,84,29,29,-876,604,-132
1602997739685,63,29,29,-884,548,-32
1602997739752,67,29,32,-940,444,92
1602997739818,66,29,34,-876,316,204
1602997739885,67,29,33,-940,292,168
1602997739962,77,29,33,-988,204,312
1602997740028,66,29,30,-892,12,488
1602997740098,70,29,30,-892,76,460
1602997740164,66,29,35,-1092,88,468
1602997740233,69,29,34,-964,268,404
1602997740311,78,29,36,-892,252,256
1602997740379,68,29,40,-912,388,200
1602997740440,61,29,38,-956,448,60
1602997740511,71,29,32,-808,564,-80
1602997740577,66,29,31,-744,688,-280
1602997740657,80,29,21,-660,736,-324
1602997740721,64,29,13,-600,796,-444
1602997740786,65,29,14,-620,808,-400
1602997740853,67,29,9,-468,808,-396
1602997740919,66,29,3,-488,900,-528
1602997741001,82,29,2,-444,848,-500
1602997741067,66,29,6,-540,800,-460
1602997741134,67,29,18,-716,804,-340
1602997741199,65,29,22,-804,684,-236
1602997741270,71,29,22,-812,604,-148
1602997741352,82,29,27,-824,544,-24
1602997741421,69,29,29,-1040,400,176
1602997741487,66,29,35,-1068,352,300
1602997741551,64,29,32,-1004,216,356
1602997741618,67,29,33,-1016,224,368
1602997741697,79,29,35,-892,312,308
1602997741770,73,29,34,-948,316,236
1602997741832,62,29,37,-1004,488,36
1602997741899,67,29,28,-812,616,-156
1602997741965,66,29,12,-708,760,-328
1602997742049,84,29,1,-344,848,-532
1602997742115,66,29,352,-320,864,-600
1602997742187,72,29,341,-172,824,-588
1602997742253,66,29,347,-280,860,-568
1602997742323,70,29,351,-388,848,-544
1602997742412,89,29,5,-572,780,-420
1602997742473,61,29,17,-828,672,-228
1602997742544,71,29,18,-744,616,-184
1602997742611,67,29,24,-812,488,-28
1602997742676,65,29,25,-1000,364,200
1602997742767,91,29,29,-1044,308,204
1602997742836,69,29,25,-944,148,316
1602997742904,68,29,27,-924,100,336
1602997742969,65,29,28,-1088,80,464
1602997743035,66,29,29,-888,104,468
1602997743118,83,29,29,-1012,36,448
1602997743185,67,29,36,-1160,308,256
1602997743256,71,29,29,-980,204,136
1602997743327,71,29,34,-988,384,-64
1602997743395,68,29,30,-1000,416,-120
